Date,Text,Sentiment
20150107,"
       The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on December 16-17, 2014. A summary of economic projections made by Federal Reserve Board members and Reserve Bank presidents for the meeting is also included as an addendum to these minutes.
     
       The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board’s Annual Report. The descriptions of economic and financial conditions contained in these minutes and in the Summary of Economic Projections are based solely on the information that was available to the Committee at the time of the meeting.
     
       FOMC minutes can be viewed on the Board’s website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
 
Minutes of the Federal Open Market Committee
       December 16-17, 2014: HTML | PDF
 
       For media inquiries, call 202-452-2955.
    ",Neutral
20150113,"
       The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings for November 24 and December 15, 2014.
     
       The minutes are attached.
     
       For media inquiries, call 202-452-2955.
    ",Neutral
20150128,"
       Information received since the Federal Open Market Committee met in December suggests that economic activity has been expanding at a solid pace.  Labor market conditions have improved further, with strong job gains and a lower unemployment rate.  On balance, a range of labor market indicators suggests that underutilization of labor resources continues to diminish.  Household spending is rising moderately; recent declines in energy prices have boosted household purchasing power.  Business fixed investment is advancing, while the recovery in the housing sector remains slow.  Inflation has declined further below the Committee’s longer-run objective, largely reflecting declines in energy prices.  Market-based measures of inflation compensation have declined substantially in recent months; survey-based measures of longer-term inflation expectations have remained stable.
     
       Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability.  The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate.  The Committee continues to see the risks to the outlook for economic activity and the labor market as nearly balanced.  Inflation is anticipated to decline further in the near term, but the Committee expects inflation to rise gradually toward 2 percent over the medium term as the labor market improves further and the transitory effects of lower energy prices and other factors dissipate.  The Committee continues to monitor inflation developments closely.
     
       To support continued progress toward maximum employment and price stability, the Committee today reaffirmed its view that the current 0 to 1/4 percent target range for the federal funds rate remains appropriate.  In determining how long to maintain this target range, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation.  This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments.  Based on its current assessment, the Committee judges that it can be patient in beginning to normalize the stance of monetary policy.  However, if incoming information indicates faster progress toward the Committee’s employment and inflation objectives than the Committee now expects, then increases in the target range for the federal funds rate are likely to occur sooner than currently anticipated.  Conversely, if progress proves slower than expected, then increases in the target range are likely to occur later than currently anticipated.
     
       The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  This policy, by keeping the Committee’s holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.
     
       When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent.  The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run.
     
       Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; Charles L. Evans; Stanley Fischer; Jeffrey M. Lacker; Dennis P. Lockhart; Jerome H. Powell; Daniel K. Tarullo; and John C. Williams.
    ",Positive
20150202,"
       As part of operational testing of the Term Deposit Facility (TDF), the Federal Reserve plans to conduct a series of three weekly TDF operations in February that offer 21-day term deposits with an early withdrawal feature. Term deposits in this series will settle on the same day the operation is executed, eliminating the three-day lag between the execution of an operation and settlement in previous tests.
     
       Individual operations in this series will be held on February 5, February 12, and February 19. The operations will offer 21-day, floating-rate deposits with the maximum individual award amount set at $20 billion, and the rate set equal to the sum of the interest rate on excess reserves (currently 25 basis points) plus a fixed spread of 3 basis points.
     
       These operations are designed to ensure the operational readiness of the TDF and to provide eligible institutions with an opportunity to gain familiarity with term deposit procedures. Details for each of the weekly operations will be announced on the day prior to each operation on the Board’s website. The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy.
     
       Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html. 
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150204,"
       On February 5, 2015, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its Term Deposit Facility (TDF). The Federal Reserve will offer 21-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves (currently 25 basis points) plus a fixed spread of 3 basis points. The maximum tender amount per institution will be $20,000,000,000. The operation window will be open from 10:30 a.m. ET to 12:30 p.m. ET, and awarded deposits will settle the same day the operation is executed.
     
Description of Operation and Tender Parameters
 
        
     
Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do ) between the opening time and the closing time on the operation date.
     
       All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.
     
Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit. Requests for early withdrawal must be made between 10:00 a.m. ET and 12:00 p.m. ET.
     
       See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html ).
     
Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.
     
       Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. ET on the notification date.
     
       As noted in the Federal Reserve Board's February 2, 2015, release, this operation is part of the continuing program of operational testing of policy tools designed to provide institutions with an opportunity to gain familiarity with term deposit operations. The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html ).
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150205,"
       On February 5, 2015, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered 21-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 3 basis points.
     
       Following are the results of the operation:
        
     

        
     
       The awarded deposits will settle on February 5, 2015, and will mature on February 26, 2015. The operation effective rate will apply to all awarded deposits.
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150211,"
       On February 12, 2015, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its Term Deposit Facility (TDF). The Federal Reserve will offer 21-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves (currently 25 basis points) plus a fixed spread of 3 basis points. The maximum tender amount per institution will be $20,000,000,000. The operation window will be open from 10:30 a.m. ET to 12:30 p.m. ET, and awarded deposits will settle the same day the operation is executed.
     
Description of Operation and Tender Parameters
 

Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do) between the opening time and the closing time on the operation date.
     
       All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.
     
Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit. Requests for early withdrawal must be made between 10:00 a.m. ET and 12:00 p.m. ET.
     
       See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html).
     
Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.
     
       Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. ET on the notification date.
     
       As noted in the Federal Reserve Board's February 2, 2015, release, this operation is part of the continuing program of operational testing of policy tools designed to provide institutions with an opportunity to gain familiarity with term deposit operations. The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html).
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150212,"
       On February 12, 2015, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility.  The operation offered 21-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 3 basis points. 
     
       Following are the results of the operation:
     

       The awarded deposits will settle on February 12, 2015, and will mature on March 5, 2015. The operation effective rate will apply to all awarded deposits.
     
       For media inquiries, call 202-452-2955.
    ",Positive
20150218,"
       The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on January 27-28, 2015.
     
       The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board’s Annual Report. The descriptions of economic and financial conditions contained in these minutes are based solely on the information that was available to the Committee at the time of the meeting.
     
       FOMC minutes can be viewed on the Board’s website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
 
Minutes of the Federal Open Market Committee
       January 27-28, 2015: HTML | PDF
 
       For media inquiries, call 202-452-2955
    ",Neutral
20150219,"
       On February 19, 2015, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered 21-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 3 basis points.
     
       Following are the results of the operation:
        
     

        
     
       The awarded deposits will settle on February 19, 2015, and will mature on March 12, 2015. The operation effective rate will apply to all awarded deposits.
     
       For media inquiries, call 202-452-2955.
    ",Positive
